Subject,Stimulus,code,End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y, Amplitude [F],Position X AOI,Position Y AOI, Velocity  Average [F/s],Velocity  Peak [F/s],Peak Velocity at [%],Eye L/R,Number
1,21a left.jpg,2,1489,205,16,222,455.5,375.1,428.5,381.7,0.9,298.7,378.8,55.7,113.9,0,Left,1
1,21a left.jpg,2,1489,306,33,339,495.4,389.6,681.9,374.7,4.1,523.5,371.1,122.7,230,100,Left,2
1,21p left.jpg,2,1492,259,16,276,530.4,374.7,429.9,376.6,1.1,298.7,378.8,67.3,207.9,100,Left,1
1,21p left.jpg,2,1492,609,133,742,376.9,365.4,355.2,361.2,21.7,364,412,162.9,471,50,Left,2
1,21p left.jpg,2,1492,859,16,876,353.8,352.6,352.8,354.1,0.1,516.6,397.4,7,13.4,100,Left,3
1,22a left.jpg,2,1488,288,16,304,606.1,378.5,648.1,376.1,1.2,364,412,70.6,161,0,Left,1
1,22p left.jpg,2,1492,246,16,263,508.9,370.8,402.3,372.5,1.3,357.6,382.7,77.7,220.7,100,Left,1
1,23a left.jpg,2,1491,408,16,425,533.4,380.6,630.4,379.5,1.2,332.1,398.1,69.2,200.5,100,Left,1
1,23a left.jpg,2,1491,1191,16,1208,712,373.7,714.8,373.1,0.1,519.1,379.1,3.6,5.7,100,Left,2
1,23p right.jpg,2,1485,252,16,269,535.8,383.5,662.7,380,1.5,537.5,363.1,90.6,262.7,100,Left,1
1,24a right.jpg,2,1489,422,16,439,511.5,375.7,393.1,376.6,1.4,357.6,382.7,82.5,244.9,100,Left,1
1,24a right.jpg,2,1489,1156,16,1172,311.4,387.9,310.2,385.8,0.1,332.1,398.1,4.7,6.5,100,Left,2
1,24p left.jpg,2,1492,282,16,298,511.3,374.5,414.3,374.3,1.2,530.2,357.5,73.2,200.8,100,Left,1
1,2a right.jpg,2,1492,326,16,343,538.7,346.5,645.5,344.4,1.3,702.5,344.4,78.7,221,100,Left,1
1,2a right.jpg,2,1492,1159,16,1176,726.8,357.3,727.8,360.3,0.1,739.2,326.6,6.1,9.6,0,Left,2
1,2p left.jpg,2,1488,4,50,55,523,385.6,523.8,380.8,0.4,718.5,348.7,8,27.3,100,Left,1
1,2p left.jpg,2,1488,638,16,655,531.5,376.7,410.1,379.4,1.7,702.5,344.4,98.9,251.1,100,Left,2
1,3a left.jpg,2,1492,546,16,563,603.8,387.8,616.5,378.3,0.3,718.5,348.7,18.7,32.9,100,Left,1
1,3p right.jpg,2,1484,500,16,517,582,388.8,673.1,386.6,1.4,523,360.3,85.2,188.4,100,Left,1
1,4a left.jpg,2,1491,624,16,641,600.6,370.7,601.6,370.2,0.1,704,356.9,5.2,7.9,100,Left,1
1,4a left.jpg,2,1491,724,16,741,651.4,366.5,716.1,366.4,1,716.1,346.9,57.5,133.7,100,Left,2
1,4p left.jpg,2,1492,360,16,377,519.2,406,411.6,406.6,1.2,704,356.9,69.5,222.4,100,Left,1
1,5a right.jpg,2,1491,375,33,408,501.5,382.4,372.5,384.1,2.9,716.1,346.9,86.4,149.8,49.8,Left,1
1,5p right.jpg,2,1489,339,16,356,529.9,383.3,640.6,381.2,1.5,364.3,375,93.3,228.9,100,Left,1
1,5p right.jpg,2,1489,656,33,689,776.7,282.2,753,317.6,3.1,314.4,369.6,94.6,154.8,100,Left,2
1,6a right.jpg,2,1492,329,33,362,529.5,377.5,676.6,360.4,2.4,533.9,375.2,72.5,178.9,50.5,Left,1
1,6a right.jpg,2,1492,796,50,846,718.4,338.8,417.9,319.6,5.9,703.1,374.1,118.9,221.9,66.7,Left,2
1,6a right.jpg,2,1492,1046,16,1062,406.1,379.1,430.2,376.6,0.6,703.4,369.9,34.1,50.2,100,Left,3
1,7a left.jpg,2,1487,287,16,303,591.1,386.7,700.5,383.8,1.6,703.1,374.1,96.8,226.4,100,Left,1
1,7p right.jpg,2,1492,298,16,315,606.7,362,673.7,353.4,1.7,703.4,369.9,98.3,168.8,0,Left,1
1,8a right.jpg,2,1492,331,16,348,459.5,366.6,386.2,367.7,1.6,364.3,375,96.5,151.7,100,Left,1
1,8a right.jpg,2,1492,765,16,781,305.6,356.2,307.6,353,0.1,314.4,369.6,5.7,7.7,100,Left,2
